id,playlist_id,artist_id,album_id,name
5MAK1nd8R6PWnle1Q1WJvh,0l4WHvspQKRVqyvQU6h7W1,5RCWMaArEntbkeWYVxCiFW,160pzqIuixGY7qegAnQCHY,I See Red
32YHCNItnCdiYaPbw0uTo8,0l4WHvspQKRVqyvQU6h7W1,5MspMQqdVbdwP6ax3GXqum,4gnEi23PFBwHXT9rMqTsN5,"I Put A Spell On You (Fifty Shades of Grey) - From ""Fifty Shades Of Grey"" Soundtrack"
3fjN3y5x4hN53rykAN2LHQ,0l4WHvspQKRVqyvQU6h7W1,2IMZYfNi21MGqxopj9fWx8,2jt6z03JV7Ax8ZdlOrs9BK,cómo dormiste?
4gcVqUyT7lj281442LiBYV,0l4WHvspQKRVqyvQU6h7W1,3p8PwzenE7ktd4BVFuQzMD,02HbzA9lAQTVWuLvaYuSj8,cómo dormiste?
6I9VzXrHxO9rA9A5euc8Ak,0l4WHvspQKRVqyvQU6h7W1,26dSoYclwsYLMAKD3tpOr4,0z7pVBGOD7HCIB7S8eLkLI,Toxic
2XIc1pqjXV3Cr2BQUGNBck,0l4WHvspQKRVqyvQU6h7W1,4q3ewBCX7sLwd24euuV69X,2d9BCZeAAhiZWPpbX9aPCW,LA NOCHE DE ANOCHE
3XjvMZqm2AQ8thMCD6w9w2,0l4WHvspQKRVqyvQU6h7W1,2R21vXR83lH98kGeO99Y66,7goOJ9hkBfNyuESHKmtGWu,Mas Rica Que Ayer
05SBRd4fXgn8FX7bf8BCAE,0szuSEuEty0gjfdMiqg5Gl,7CajNmpbOovFoOoasH2HaY,7w19PFbxAjwZ7UVNp9z0uT,I Need Your Love (feat. Ellie Goulding)
7MmG8p0F9N3C4AXdK6o6Eb,0szuSEuEty0gjfdMiqg5Gl,7CajNmpbOovFoOoasH2HaY,48zisMeiXniWLzOQghbPqS,Outside (feat. Ellie Goulding)
0azC730Exh71aQlOt9Zj3y,0szuSEuEty0gjfdMiqg5Gl,7CajNmpbOovFoOoasH2HaY,3pEgGUv379EDinvg1TN7Kt,This Is What You Came For
22mek4IiqubGD9ctzxc69s,0szuSEuEty0gjfdMiqg5Gl,7CajNmpbOovFoOoasH2HaY,3cG32DOXJoYlOHMmJIaQsm,How Deep Is Your Love
